Word,AoALikert,Frequency
Kuh,1.6,0.005246837928181379
Kummer,2.95,0.001975245701972326
Kurve,2.63,0.005111210911807639
Kutsche,2.705,0.0011139591562510753
Käfer,1.83,0.0019201613362953085
Käfig,2.5,0.0013872623551870462
Käse,1.79,0.004183806919179821
König,2.5,0.02231237498639099
Körper,2.36,0.026105080593821967
Küchentisch,2.35,0.00043170258758518337
Küken,2.21,0.0009169497719034911
Kürbis,2.67,0.0016409306057858543
LKW,2.4,0.0012022585377177864
Lamm,2.18,0.0015194856717900761
Lampe,1.71,0.004129035138175623
Laterne,2.17,0.002192492049582505
Lauer,2.96,0.00025269576495003343
Laus,2.84,0.00038223316880882873
Leben,2.53,0.14369853148646886
Lehrer,2.67,0.02626654794314886
Lehrerin,2.61,0.006788285567539615
Leine,3.0,0.001704489489259336
Leiter,2.47,0.03073136848319422
Lenkrad,2.64,0.0013389159257908242
Leopard,3.0,0.0007849232678722371
Leute,2.59,0.07453890634912262
Licht,1.96,0.030621072402529037
Lied,1.61,0.025669985883676177
Limonade,2.42,0.0004631462902288949
Lineal,2.8,0.0002446611811375387
Linie,2.58,0.02930671173936977
Lippe,2.26,0.005886756639495263
Liter,3.0,0.014115142949138676
Lob,2.93,0.00904830748366143
Loch,1.96,0.009715455793141004
Locke,2.29,0.0009002901665631742
Lokführer,2.95,0.0013355932664908443
Luft,2.13,0.026556823332097967
Lupe,2.88,0.0037047072334269807
Lutscher,1.63,9.269872130640573e-05
Lätzchen,1.8,6.020149254318844e-07
Löffel,1.63,0.001341405025963283
Löwe,2.04,0.008021872035800067
Lüge,2.53,0.00443252012385392
Mahlzeit,2.78,0.003488977500340486
Mai,2.56,0.09558133085031506
Mais,2.7,0.001718555799536254
Maler,2.62,0.008490158607315343
Mama,1.19,0.005985243965853899
Mann,1.73,0.18089324798120082
Mantel,2.6500000000000004,0.0033031980097942273
Mappe,2.94,0.000614356231403238
Marienkäfer,2.05,0.0003088568111667656
Markt,3.0,0.06457318600515352
Maske,2.53,0.007166258323030002
Matratze,2.63,0.0018976320854320306
Matte,2.76,0.0019733701939354037
Mauer,1.88,0.010023814784273277
Maul,2.16,0.0015168807995165727
Maulwurf,2.5,0.0006319535907620161
Maus,1.665,0.006536874872911176
Medaille,2.93,0.007188046632446594
Medizin,2.86,0.009609697978836767
Meer,2.25,0.015221704268133003
Meerschweinchen,2.75,0.0005565627985617771
Meise,2.65,0.0003508357750055351
Melone,2.59,0.000513912356536949
Menge,2.88,0.0330048083858271
Mensch,2.18,0.25829495526774404
Messer,1.64,0.006549551917975559
Metzger,2.9,0.002222812762846084
Milch,1.65,0.006971379145341639
Minute,2.71,0.13902247317085753
Mist,2.35,0.002702549195154669
Mittag,1.79,0.005875642517794983
Mittagessen,1.79,1.7365815156688973e-06
Mitte,2.52,0.04939358805017044
Mohrrübe,2.25,6.82939624062055e-05
Moment,2.88,0.035024533729020764
Monat,3.0,0.1286192037482005
Mond,1.59,0.004758789059017793
Montag,2.39,0.0842457486979459
Moos,2.53,0.0018598672260712844
Motor,2.86,0.012594742677750348
Motorrad,2.47,0.005488106986758311
Mund,1.42,0.009912279942126916
Murmel,2.0,0.00031411286455419014
Muschel,2.635,0.0011144917079158804
Musik,1.94,0.0688589302593031
Musiker,2.18,0.02211233237299604
Mutter,1.72,0.052933806282433264
März,2.76,0.08996622186871082
Möhre,1.96,0.001097820525365459
Möwe,2.55,0.0006762943054620953
Mühle,2.94,0.0058871734190590235
Müllmann,2.75,0.00017967830082120856
Mütze,1.95,0.0024244761856556606
Nabel,2.71,0.00029822893229087194
Nachbar,2.37,0.015664312587636585
Nachmittag,2.37,0.020364243110483307
Nacht,1.67,0.052625921956915275
Nachthemd,1.9,0.00019942902125941615
Nachttisch,2.85,0.0003087757706960344
Nadel,2.44,0.00222236125165201
Nagel,2.11,0.006547525906207279
Name,1.5,0.02526889343960718
Nase,1.47,0.010840390144571105
Natur,2.38,0.028296924319638622
Nebel,2.33,0.0036719553060414654
Nest,2.48,0.0025948116779225708
Neugier,2.9,0.00212728920227419
Notfall,2.94,0.006389045477087335
November,2.63,0.08308714781953204
Nudel,1.74,0.002057293389982629
Nummer,2.76,0.025012631893944974
Nuss,2.29,0.00013251274685564132
Nähe,2.68,0.027526704108599045
Obst,1.96,0.005763945594707159
Ochse,3.0,0.0007771896915224583
Ofen,2.33,0.0040803992785267895
Oktober,2.26,0.08836291719576446
Omnibus,2.95,0.0004896812557883156
Onkel,1.78,0.003971226187241738
Ordnung,2.78,0.016176048428673897
Osterei,2.09,0.0009218469317776774
Paket,2.77,0.008761968346147838
Panther,2.75,0.0019020314252717252
Papa,1.21,0.005373295794152388
Papagei,2.435,0.000641099586744539
Papagei ,2.6,0.000641099586744539
Papier,1.91,0.014141041168142352
Pappe,2.65,0.0009546683224238195
Park,2.44,0.018152498160497087
Patient,3.0,0.030720011240081745
Pause,2.65,0.02604550427062442
Pech,2.88,0.004585246679551947
Pedal,2.84,0.0013817400259672193
Perle,2.92,0.0026336995266634496
Person,2.71,0.09100994209125815
Pfad,2.94,0.0030393997003540173
Pfanne,2.32,0.0027913695510760807
Pfau,2.93,0.0005416513519472335
Pfeife,2.81,0.0014602450876855578
Pfeil,2.64,0.0023325878690565673
Pfennig,2.68,0.0024883939626423805
Pferd,1.73,0.014579470114798225
Pfirsich,2.85,0.0005027403487861457
Pflanze,1.96,0.014700000449195751
Pflaster,2.0,0.00210631129756491
Pflaume,2.65,0.0006910436711351765
Pfote,2.36,0.0009245444217320164
Photo,2.24,0.0024852449614939675
Pilot,2.53,0.006053688431991462
Pilz,2.0,0.00448486069073618
Pinguin,2.31,0.0017239044706045142
Pinsel,2.23,0.0024713291549484074
Pirat,2.63,0.004254775217120156
Pizza,2.52,0.0029360267913313
Platz,2.35,0.15171655988851424
Polizei,1.84,0.09968853137023367
Polizist,2.31,0.017733646276127852
Pony,2.105,0.0015065191964730817
Portion,2.95,0.004245004051791993
Post,2.64,0.03201719132344599
Postbote,2.52,0.0004876205123897219
Prinz,2.17,0.009759958588782544
Prinzessin,1.79,0.00525816043966354
Pullover,2.37,0.0017755851365108205
Pulver,3.0,0.0018544490917423975
Pumpe,2.94,0.0020037372160394
Punkt,2.47,0.10562568360531364
Puppe,1.41,0.002985774063150162
Rabe,2.85,0.001904370021712826
Rad,2.0,0.013912275496478235
